Time t / s,Events N,Channel n,Energy E / keV
,0,875,43.663488372093
,0,876,43.7149069767442
,1,877,43.7663255813953
,0,878,43.8177441860465
,0,879,43.8691627906977
,2,880,43.9205813953488
,0,881,43.972
,1,882,44.0234186046511
,1,883,44.0748372093023
,1,884,44.1262558139535
,0,885,44.1776744186046
,0,886,44.2290930232558
,0,887,44.280511627907
,0,888,44.3319302325581
,0,889,44.3833488372093
,0,890,44.4347674418604
,1,891,44.4861860465116
,0,892,44.5376046511628
,0,893,44.5890232558139
,0,894,44.6404418604651
,1,895,44.6918604651163
,0,896,44.7432790697674
,0,897,44.7946976744186
,0,898,44.8461162790697
,0,899,44.8975348837209
,1,900,44.9489534883721
,1,901,45.0003720930232
,0,902,45.0517906976744
,0,903,45.1032093023256
,1,904,45.1546279069767
,0,905,45.2060465116279
,1,906,45.2574651162791
,0,907,45.3088837209302
,2,908,45.3603023255814
,1,909,45.4117209302325
,1,910,45.4631395348837
,0,911,45.5145581395349
,0,912,45.565976744186
,0,913,45.6173953488372
,1,914,45.6688139534884
,0,915,45.7202325581395
,1,916,45.7716511627907
,0,917,45.8230697674418
,2,918,45.874488372093
,0,919,45.9259069767442
,1,920,45.9773255813953
,1,921,46.0287441860465
,0,922,46.0801627906977
,0,923,46.1315813953488
,1,924,46.183
,0,925,46.2344186046511
,0,926,46.2858372093023
,0,927,46.3372558139535
,0,928,46.3886744186046
,0,929,46.4400930232558
,0,930,46.491511627907
,1,931,46.5429302325581
,0,932,46.5943488372093
,0,933,46.6457674418604
,0,934,46.6971860465116
,1,935,46.7486046511628
,0,936,46.8000232558139
,1,937,46.8514418604651
,0,938,46.9028604651163
,0,939,46.9542790697674
,1,940,47.0056976744186
,0,941,47.0571162790697
,0,942,47.1085348837209
,3,943,47.1599534883721
,0,944,47.2113720930232
,2,945,47.2627906976744
,1,946,47.3142093023256
,1,947,47.3656279069767
,1,948,47.4170465116279
,0,949,47.468465116279
,0,950,47.5198837209302
,0,951,47.5713023255814
,3,952,47.6227209302325
,0,953,47.6741395348837
,0,954,47.7255581395349
,0,955,47.776976744186
,0,956,47.8283953488372
,0,957,47.8798139534884
,0,958,47.9312325581395
,1,959,47.9826511627907
,1,960,48.0340697674418
,1,961,48.085488372093
,1,962,48.1369069767442
,1,963,48.1883255813953
,1,964,48.2397441860465
,0,965,48.2911627906977
,0,966,48.3425813953488
,1,967,48.394
,2,968,48.4454186046511
,1,969,48.4968372093023
,0,970,48.5482558139535
,0,971,48.5996744186046
,0,972,48.6510930232558
,1,973,48.702511627907
,1,974,48.7539302325581
,0,975,48.8053488372093
,0,976,48.8567674418604
,1,977,48.9081860465116
,0,978,48.9596046511628
,0,979,49.0110232558139
,2,980,49.0624418604651
,0,981,49.1138604651163
,1,982,49.1652790697674
,1,983,49.2166976744186
,1,984,49.2681162790697
,0,985,49.3195348837209
,1,986,49.3709534883721
,0,987,49.4223720930232
,1,988,49.4737906976744
,1,989,49.5252093023256
,2,990,49.5766279069767
,1,991,49.6280465116279
,3,992,49.679465116279
,0,993,49.7308837209302
,1,994,49.7823023255814
,2,995,49.8337209302325
,1,996,49.8851395348837
,3,997,49.9365581395349
,1,998,49.987976744186
,0,999,50.0393953488372
,1,1000,50.0908139534884
,4,1001,50.1422325581395
,1,1002,50.1936511627907
,1,1003,50.2450697674418
,2,1004,50.296488372093
,0,1005,50.3479069767442
,0,1006,50.3993255813953
,1,1007,50.4507441860465
,4,1008,50.5021627906977
,2,1009,50.5535813953488
,0,1010,50.605
,2,1011,50.6564186046512
,5,1012,50.7078372093023
,1,1013,50.7592558139535
,0,1014,50.8106744186046
,1,1015,50.8620930232558
,0,1016,50.913511627907
,1,1017,50.9649302325581
,0,1018,51.0163488372093
,0,1019,51.0677674418604
,1,1020,51.1191860465116
,3,1021,51.1706046511628
,0,1022,51.2220232558139
,1,1023,51.2734418604651
,5,1024,51.3248604651163
,2,1025,51.3762790697674
,1,1026,51.4276976744186
,2,1027,51.4791162790697
,0,1028,51.5305348837209
,2,1029,51.5819534883721
,1,1030,51.6333720930232
,1,1031,51.6847906976744
,3,1032,51.7362093023256
,3,1033,51.7876279069767
,0,1034,51.8390465116279
,0,1035,51.890465116279
,3,1036,51.9418837209302
,0,1037,51.9933023255814
,1,1038,52.0447209302325
,3,1039,52.0961395348837
,1,1040,52.1475581395349
,3,1041,52.198976744186
,1,1042,52.2503953488372
,4,1043,52.3018139534883
,3,1044,52.3532325581395
